nose: x=0.2253627479, y=-0.5921797752, z=-0.0232682489
left_eye: x=0.2253627479, y=-0.5921797752, z=-0.0232682489
right_eye: x=0.2253627479, y=-0.5921797752, z=-0.0232682489
left_ear: x=0.2253627479, y=-0.5921797752, z=-0.0232682489
right_ear: x=0.2253627479, y=-0.5921797752, z=-0.0232682489
left_shoulder: x=0.0760688782, y=-0.4914797843, z=0.1277867854
right_shoulder: x=0.0595912933, y=-0.5186763406, z=-0.1889542937
left_elbow: x=0.0466583557, y=-0.2444101274, z=0.2349983454
right_elbow: x=-0.0844985843, y=-0.2956962585, z=-0.2811478376
left_wrist: x=0.1774411350, y=-0.1113621220, z=0.2297380418
right_wrist: x=0.1388611495, y=-0.1397312284, z=-0.2757756710
left_hip: x=0.0066587492, y=-0.0054537430, z=0.1089393198
right_hip: x=-0.0169428959, y=0.0043321103, z=-0.1166632622
left_knee: x=0.2632496953, y=0.2106381953, z=0.2104551196
right_knee: x=0.2340932041, y=0.2736288309, z=-0.1277625263
left_ankle: x=-0.0471938923, y=0.3686637282, z=0.2053282857
right_ankle: x=-0.1210403964, y=0.4593825638, z=-0.0676954910
