nose: x=0.2315552086, y=-0.5713660717, z=-0.0330677405
left_eye: x=0.2315552086, y=-0.5713660717, z=-0.0330677405
right_eye: x=0.2315552086, y=-0.5713660717, z=-0.0330677405
left_ear: x=0.2315552086, y=-0.5713660717, z=-0.0330677405
right_ear: x=0.2315552086, y=-0.5713660717, z=-0.0330677405
left_shoulder: x=0.0869547427, y=-0.4803103805, z=0.1168199480
right_shoulder: x=0.0534274094, y=-0.5085564256, z=-0.2000228167
left_elbow: x=0.0568527579, y=-0.2433662564, z=0.2372887880
right_elbow: x=-0.0778751671, y=-0.2970607877, z=-0.3012673557
left_wrist: x=0.1843932718, y=-0.1039475799, z=0.2163819373
right_wrist: x=0.1432093978, y=-0.1328720003, z=-0.2812036872
left_hip: x=0.0096302452, y=-0.0038688481, z=0.1102676615
right_hip: x=-0.0186705459, y=0.0031815320, z=-0.1170048863
left_knee: x=0.2364890575, y=0.2553185225, z=0.2154890448
right_knee: x=0.2125568092, y=0.3041888177, z=-0.1030922011
left_ankle: x=-0.0422829948, y=0.4667865038, z=0.2228717208
right_ankle: x=-0.1128452420, y=0.5419209599, z=-0.0405784622
