nose: x=0.0996769667, y=-0.5384011269, z=-0.1149047017
left_eye: x=0.0996769667, y=-0.5384011269, z=-0.1149047017
right_eye: x=0.0996769667, y=-0.5384011269, z=-0.1149047017
left_ear: x=0.0996769667, y=-0.5384011269, z=-0.1149047017
right_ear: x=0.0996769667, y=-0.5384011269, z=-0.1149047017
left_shoulder: x=-0.0011686183, y=-0.4408470988, z=0.0332034789
right_shoulder: x=-0.0472477302, y=-0.4755147696, z=-0.2236072719
left_elbow: x=-0.0123519124, y=-0.2209006250, z=0.1695748419
right_elbow: x=-0.1044414863, y=-0.2910802662, z=-0.3277481198
left_wrist: x=0.1240931004, y=-0.1140468642, z=0.0830036625
right_wrist: x=0.1113034487, y=-0.1483441740, z=-0.2246766984
left_hip: x=0.0119774416, y=0.0042250827, z=0.1131261736
right_hip: x=-0.0126692597, y=0.0003441200, z=-0.1170776561
left_knee: x=-0.0035814168, y=0.3987265825, z=0.1468005776
right_knee: x=-0.0109345075, y=0.4094514847, z=-0.0065139569
left_ankle: x=-0.0648626685, y=0.8033316135, z=0.1856794655
right_ankle: x=-0.0813166797, y=0.8283318877, z=0.0812554955
