nose: x=0.0985844284, y=-0.5367640853, z=-0.1169888675
left_eye: x=0.0985844284, y=-0.5367640853, z=-0.1169888675
right_eye: x=0.0985844284, y=-0.5367640853, z=-0.1169888675
left_ear: x=0.0985844284, y=-0.5367640853, z=-0.1169888675
right_ear: x=0.0985844284, y=-0.5367640853, z=-0.1169888675
left_shoulder: x=-0.0064703790, y=-0.4431527853, z=0.0309789814
right_shoulder: x=-0.0550568178, y=-0.4764720201, z=-0.2228151560
left_elbow: x=-0.0176813789, y=-0.2257516980, z=0.1699917614
right_elbow: x=-0.1096686348, y=-0.2926543355, z=-0.3323338628
left_wrist: x=0.1201866567, y=-0.1246773899, z=0.0879142731
right_wrist: x=0.1050443351, y=-0.1477513611, z=-0.2358341962
left_hip: x=0.0132685732, y=0.0035933033, z=0.1146492288
right_hip: x=-0.0139647471, y=0.0000431016, z=-0.1181579977
left_knee: x=-0.0091317473, y=0.3962450922, z=0.1499734372
right_knee: x=-0.0202742778, y=0.4082687199, z=-0.0061744303
left_ankle: x=-0.0659908429, y=0.8027880788, z=0.1883143783
right_ankle: x=-0.0832622275, y=0.8274620771, z=0.0762258768
