nose: x=0.2151764035, y=-0.6119104624, z=-0.0170124471
left_eye: x=0.2151764035, y=-0.6119104624, z=-0.0170124471
right_eye: x=0.2151764035, y=-0.6119104624, z=-0.0170124471
left_ear: x=0.2151764035, y=-0.6119104624, z=-0.0170124471
right_ear: x=0.2151764035, y=-0.6119104624, z=-0.0170124471
left_shoulder: x=0.0601771884, y=-0.4953214526, z=0.1377780437
right_shoulder: x=0.0570309833, y=-0.5233504772, z=-0.1775697172
left_elbow: x=0.0300322510, y=-0.2376310229, z=0.2245664448
right_elbow: x=-0.0935617313, y=-0.2831642926, z=-0.2579749823
left_wrist: x=0.1622487307, y=-0.1087037250, z=0.2321188897
right_wrist: x=0.1292397380, y=-0.1371192336, z=-0.2591528296
left_hip: x=0.0052205208, y=-0.0072334856, z=0.1097057611
right_hip: x=-0.0147860190, y=0.0097696856, z=-0.1166566983
left_knee: x=0.2824591398, y=0.1618803442, z=0.2043890357
right_knee: x=0.2505118847, y=0.2391206324, z=-0.1436063796
left_ankle: x=-0.0480944812, y=0.2586866617, z=0.1938491017
right_ankle: x=-0.1272177547, y=0.3540402055, z=-0.0876138955
