nose: x=0.1365174055, y=-0.6305955648, z=-0.0321318544
left_eye: x=0.1365174055, y=-0.6305955648, z=-0.0321318544
right_eye: x=0.1365174055, y=-0.6305955648, z=-0.0321318544
left_ear: x=0.1365174055, y=-0.6305955648, z=-0.0321318544
right_ear: x=0.1365174055, y=-0.6305955648, z=-0.0321318544
left_shoulder: x=-0.0123973787, y=-0.4976114035, z=0.1181008220
right_shoulder: x=-0.0323074088, y=-0.5206209421, z=-0.1655521691
left_elbow: x=-0.0220792368, y=-0.2285441607, z=0.2039171606
right_elbow: x=-0.1700218022, y=-0.2472996116, z=-0.2141351402
left_wrist: x=0.1156134158, y=-0.1049324423, z=0.2103321254
right_wrist: x=0.0609827936, y=-0.1180770397, z=-0.2370412946
left_hip: x=0.0086074490, y=-0.0123532079, z=0.1058196202
right_hip: x=-0.0116855493, y=0.0161068588, z=-0.1114019156
left_knee: x=0.2689289749, y=0.1274705827, z=0.2376707345
right_knee: x=0.2642816305, y=0.2168351710, z=-0.1575476080
left_ankle: x=-0.0561979562, y=0.1525041014, z=0.1715396494
right_ankle: x=-0.0458544865, y=0.2429579794, z=-0.0652530789
