nose: x=0.4283653498, y=-0.4795971513, z=0.0124502350
left_eye: x=0.4283653498, y=-0.4795971513, z=0.0124502350
right_eye: x=0.4283653498, y=-0.4795971513, z=0.0124502350
left_ear: x=0.4283653498, y=-0.4795971513, z=0.0124502350
right_ear: x=0.4283653498, y=-0.4795971513, z=0.0124502350
left_shoulder: x=0.2274551988, y=-0.4221603870, z=0.1736651957
right_shoulder: x=0.2498569489, y=-0.4591889381, z=-0.1283711493
left_elbow: x=0.2369167656, y=-0.1254029274, z=0.1536421776
right_elbow: x=0.2209222019, y=-0.1361764669, z=-0.1726407111
left_wrist: x=0.3486912251, y=0.0991290063, z=0.1678499281
right_wrist: x=0.4036399722, y=0.1306386888, z=-0.1946153492
left_hip: x=0.0115615148, y=-0.0095682070, z=0.1078855544
right_hip: x=-0.0051383134, y=0.0166367367, z=-0.1140744835
left_knee: x=0.3168076873, y=0.1098115295, z=0.2366548926
right_knee: x=0.3567415178, y=0.1534383595, z=-0.1193963885
left_ankle: x=-0.0106299771, y=0.1263211668, z=0.1691798568
right_ankle: x=0.0349029340, y=0.2123466730, z=-0.0659703314
