nose: x=0.1002089828, y=-0.5382193923, z=-0.1152376309
left_eye: x=0.1002089828, y=-0.5382193923, z=-0.1152376309
right_eye: x=0.1002089828, y=-0.5382193923, z=-0.1152376309
left_ear: x=0.1002089828, y=-0.5382193923, z=-0.1152376309
right_ear: x=0.1002089828, y=-0.5382193923, z=-0.1152376309
left_shoulder: x=-0.0005677687, y=-0.4411703348, z=0.0329776481
right_shoulder: x=-0.0470740795, y=-0.4757281542, z=-0.2238691151
left_elbow: x=-0.0115640629, y=-0.2213881314, z=0.1693052351
right_elbow: x=-0.1045000181, y=-0.2914739251, z=-0.3280152082
left_wrist: x=0.1246326566, y=-0.1145649478, z=0.0830991864
right_wrist: x=0.1113598496, y=-0.1485785395, z=-0.2253868580
left_hip: x=0.0120532541, y=0.0042191446, z=0.1131427735
right_hip: x=-0.0126918694, y=0.0003444478, z=-0.1171713322
left_knee: x=-0.0029900996, y=0.3986332417, z=0.1468356848
right_knee: x=-0.0102325492, y=0.4094454646, z=-0.0067110592
left_ankle: x=-0.0648037717, y=0.8030849099, z=0.1858339012
right_ankle: x=-0.0811233819, y=0.8281569481, z=0.0809674338
