nose: x=0.1601917297, y=-0.6240267754, z=-0.0301339403
left_eye: x=0.1601917297, y=-0.6240267754, z=-0.0301339403
right_eye: x=0.1601917297, y=-0.6240267754, z=-0.0301339403
left_ear: x=0.1601917297, y=-0.6240267754, z=-0.0301339403
right_ear: x=0.1601917297, y=-0.6240267754, z=-0.0301339403
left_shoulder: x=0.0118152425, y=-0.5042997003, z=0.1184082627
right_shoulder: x=-0.0077072075, y=-0.5261150599, z=-0.1650689840
left_elbow: x=-0.0006352970, y=-0.2330238074, z=0.2080730200
right_elbow: x=-0.1666213572, y=-0.2532551587, z=-0.2120652497
left_wrist: x=0.1345854104, y=-0.0997377634, z=0.2209339887
right_wrist: x=0.0582167879, y=-0.1105071828, z=-0.2395363450
left_hip: x=0.0072510540, y=-0.0131981000, z=0.1108170524
right_hip: x=-0.0097520966, y=0.0161657333, z=-0.1121771857
left_knee: x=0.2694790959, y=0.1444901228, z=0.2537977993
right_knee: x=0.2669558823, y=0.2326752543, z=-0.1465989649
left_ankle: x=-0.0475836806, y=0.1557179093, z=0.1665823758
right_ankle: x=-0.0450899489, y=0.2467315942, z=-0.0593491420
