nose: x=0.1506714225, y=-0.6262453794, z=-0.0307941884
left_eye: x=0.1506714225, y=-0.6262453794, z=-0.0307941884
right_eye: x=0.1506714225, y=-0.6262453794, z=-0.0307941884
left_ear: x=0.1506714225, y=-0.6262453794, z=-0.0307941884
right_ear: x=0.1506714225, y=-0.6262453794, z=-0.0307941884
left_shoulder: x=0.0040075076, y=-0.5040464401, z=0.1167691797
right_shoulder: x=-0.0168870650, y=-0.5257357955, z=-0.1647987217
left_elbow: x=-0.0070757410, y=-0.2338721901, z=0.2069558501
right_elbow: x=-0.1741953194, y=-0.2530171275, z=-0.2101174444
left_wrist: x=0.1278773993, y=-0.1031697541, z=0.2184412777
right_wrist: x=0.0514961705, y=-0.1128429249, z=-0.2375019640
left_hip: x=0.0070082434, y=-0.0132346526, z=0.1102477014
right_hip: x=-0.0099273594, y=0.0161423311, z=-0.1120906472
left_knee: x=0.2668972611, y=0.1435528398, z=0.2523550391
right_knee: x=0.2627225518, y=0.2339611948, z=-0.1496057808
left_ankle: x=-0.0477561876, y=0.1562233418, z=0.1667049527
right_ankle: x=-0.0472144410, y=0.2469417304, z=-0.0602944978
