nose: x=0.2056287527, y=-0.6183772087, z=-0.0221984275
left_eye: x=0.2056287527, y=-0.6183772087, z=-0.0221984275
right_eye: x=0.2056287527, y=-0.6183772087, z=-0.0221984275
left_ear: x=0.2056287527, y=-0.6183772087, z=-0.0221984275
right_ear: x=0.2056287527, y=-0.6183772087, z=-0.0221984275
left_shoulder: x=0.0470769629, y=-0.4904295802, z=0.1389270872
right_shoulder: x=0.0453068987, y=-0.5182328224, z=-0.1746264398
left_elbow: x=0.0211230665, y=-0.2266356647, z=0.2126349807
right_elbow: x=-0.0980153978, y=-0.2627648413, z=-0.2443658113
left_wrist: x=0.1582856327, y=-0.0996756628, z=0.2320167720
right_wrist: x=0.1240112633, y=-0.1261935681, z=-0.2530137897
left_hip: x=0.0068805697, y=-0.0087580755, z=0.1081612408
right_hip: x=-0.0141893420, y=0.0148416609, z=-0.1153568253
left_knee: x=0.2967767119, y=0.1235791445, z=0.2046761215
right_knee: x=0.2798817158, y=0.1979618371, z=-0.1578050852
left_ankle: x=-0.0382165462, y=0.1929225624, z=0.1835852563
right_ankle: x=-0.0902463794, y=0.2846868932, z=-0.0855334848
