nose: x=0.2041234374, y=-0.5464750528, z=-0.0719149560
left_eye: x=0.2041234374, y=-0.5464750528, z=-0.0719149560
right_eye: x=0.2041234374, y=-0.5464750528, z=-0.0719149560
left_ear: x=0.2041234374, y=-0.5464750528, z=-0.0719149560
right_ear: x=0.2041234374, y=-0.5464750528, z=-0.0719149560
left_shoulder: x=0.0783394352, y=-0.4551315308, z=0.0741442218
right_shoulder: x=0.0096888877, y=-0.4955923855, z=-0.2046452910
left_elbow: x=0.0374674089, y=-0.2262107879, z=0.2119054496
right_elbow: x=-0.0876872092, y=-0.2919362187, z=-0.3112369180
left_wrist: x=0.1548005939, y=-0.0966526121, z=0.1163196266
right_wrist: x=0.1247099340, y=-0.1316522807, z=-0.2470254451
left_hip: x=0.0186055172, y=0.0007995814, z=0.1167161614
right_hip: x=-0.0229717325, y=0.0002857223, z=-0.1195215508
left_knee: x=0.1515190899, y=0.3482446074, z=0.2092344165
right_knee: x=0.0955122262, y=0.3788243532, z=-0.0342957824
left_ankle: x=-0.0909189284, y=0.6560370922, z=0.2130143642
right_ankle: x=-0.1596892774, y=0.7132514119, z=0.0359014459
