nose: x=0.0929974616, y=-0.5390760899, z=-0.1111947894
left_eye: x=0.0929974616, y=-0.5390760899, z=-0.1111947894
right_eye: x=0.0929974616, y=-0.5390760899, z=-0.1111947894
left_ear: x=0.0929974616, y=-0.5390760899, z=-0.1111947894
right_ear: x=0.0929974616, y=-0.5390760899, z=-0.1111947894
left_shoulder: x=-0.0113903247, y=-0.4371936321, z=0.0348038636
right_shoulder: x=-0.0503093377, y=-0.4725858569, z=-0.2197700739
left_elbow: x=-0.0323755518, y=-0.2131889760, z=0.1674449146
right_elbow: x=-0.0997177288, y=-0.2856164873, z=-0.3254199922
left_wrist: x=0.1131490022, y=-0.1113114432, z=0.0824893713
right_wrist: x=0.1114933565, y=-0.1453664154, z=-0.2156997919
left_hip: x=0.0107329898, y=0.0044283122, z=0.1132068187
right_hip: x=-0.0121216886, y=0.0003450215, z=-0.1163920015
left_knee: x=-0.0103827259, y=0.3994255364, z=0.1472329497
right_knee: x=-0.0189974979, y=0.4091284275, z=-0.0046451325
left_ankle: x=-0.0650119409, y=0.8053463697, z=0.1830749214
right_ankle: x=-0.0819906145, y=0.8285873532, z=0.0799750984
