nose: x=0.1762987375, y=-0.6196465492, z=-0.0284124799
left_eye: x=0.1762987375, y=-0.6196465492, z=-0.0284124799
right_eye: x=0.1762987375, y=-0.6196465492, z=-0.0284124799
left_ear: x=0.1762987375, y=-0.6196465492, z=-0.0284124799
right_ear: x=0.1762987375, y=-0.6196465492, z=-0.0284124799
left_shoulder: x=0.0221507084, y=-0.5044535995, z=0.1217224821
right_shoulder: x=0.0077975085, y=-0.5266274214, z=-0.1643475294
left_elbow: x=0.0039492715, y=-0.2307041436, z=0.2085712254
right_elbow: x=-0.1535882056, y=-0.2535338998, z=-0.2153570801
left_wrist: x=0.1404667646, y=-0.0911201686, z=0.2215461582
right_wrist: x=0.0711290389, y=-0.1060985029, z=-0.2447430491
left_hip: x=0.0071149138, y=-0.0132830516, z=0.1115722954
right_hip: x=-0.0093356874, y=0.0158960372, z=-0.1122607961
left_knee: x=0.2687553763, y=0.1478167474, z=0.2570014000
right_knee: x=0.2637371123, y=0.2358744740, z=-0.1440751404
left_ankle: x=-0.0473187715, y=0.1541779935, z=0.1650505066
right_ankle: x=-0.0456392691, y=0.2457229495, z=-0.0588633083
