nose: x=0.2329191566, y=-0.5650871992, z=-0.0396662578
left_eye: x=0.2329191566, y=-0.5650871992, z=-0.0396662578
right_eye: x=0.2329191566, y=-0.5650871992, z=-0.0396662578
left_ear: x=0.2329191566, y=-0.5650871992, z=-0.0396662578
right_ear: x=0.2329191566, y=-0.5650871992, z=-0.0396662578
left_shoulder: x=0.0908621103, y=-0.4760801494, z=0.1108581349
right_shoulder: x=0.0497457460, y=-0.5050840378, z=-0.2048093379
left_elbow: x=0.0592336208, y=-0.2434555590, z=0.2373996526
right_elbow: x=-0.0753171444, y=-0.2974748015, z=-0.3093540072
left_wrist: x=0.1856918633, y=-0.1019534022, z=0.2082840204
right_wrist: x=0.1457154602, y=-0.1317383796, z=-0.2816632986
left_hip: x=0.0111253001, y=-0.0032863095, z=0.1112012938
right_hip: x=-0.0191767272, y=0.0029616579, z=-0.1171535552
left_knee: x=0.2243740559, y=0.2725582123, z=0.2142019570
right_knee: x=0.2003766298, y=0.3181764185, z=-0.0915138125
left_ankle: x=-0.0448126942, y=0.5035768151, z=0.2271227539
right_ankle: x=-0.1132331938, y=0.5756061077, z=-0.0262169652
