nose: x=0.1006264538, y=-0.5359219313, z=-0.1177375987
left_eye: x=0.1006264538, y=-0.5359219313, z=-0.1177375987
right_eye: x=0.1006264538, y=-0.5359219313, z=-0.1177375987
left_ear: x=0.1006264538, y=-0.5359219313, z=-0.1177375987
right_ear: x=0.1006264538, y=-0.5359219313, z=-0.1177375987
left_shoulder: x=-0.0025472371, y=-0.4436340928, z=0.0306471176
right_shoulder: x=-0.0512939990, y=-0.4760467410, z=-0.2245023847
left_elbow: x=-0.0120402947, y=-0.2264090627, z=0.1692888141
right_elbow: x=-0.1062706411, y=-0.2915774584, z=-0.3309531212
left_wrist: x=0.1244560331, y=-0.1240061447, z=0.0863405913
right_wrist: x=0.1084255651, y=-0.1477924883, z=-0.2329090834
left_hip: x=0.0129209766, y=0.0038003474, z=0.1142109558
right_hip: x=-0.0135418149, y=0.0002365559, z=-0.1180313230
left_knee: x=-0.0059069768, y=0.3968027830, z=0.1486045867
right_knee: x=-0.0160522647, y=0.4084694386, z=-0.0059859902
left_ankle: x=-0.0647048205, y=0.8032035828, z=0.1875033379
right_ankle: x=-0.0819296688, y=0.8289120197, z=0.0783680454
