nose: x=0.1117934287, y=-0.5378093719, z=-0.1161144227
left_eye: x=0.1117934287, y=-0.5378093719, z=-0.1161144227
right_eye: x=0.1117934287, y=-0.5378093719, z=-0.1161144227
left_ear: x=0.1117934287, y=-0.5378093719, z=-0.1161144227
right_ear: x=0.1117934287, y=-0.5378093719, z=-0.1161144227
left_shoulder: x=0.0042385114, y=-0.4433192015, z=0.0316257440
right_shoulder: x=-0.0483191721, y=-0.4780132473, z=-0.2202523947
left_elbow: x=-0.0073614400, y=-0.2267376930, z=0.1727849245
right_elbow: x=-0.1076537520, y=-0.2944673002, z=-0.3340524435
left_wrist: x=0.1246763468, y=-0.1226955652, z=0.0890604183
right_wrist: x=0.1066813320, y=-0.1467558593, z=-0.2411357760
left_hip: x=0.0152640212, y=0.0025658682, z=0.1154399216
right_hip: x=-0.0158161428, y=0.0000194013, z=-0.1188959628
left_knee: x=-0.0037427694, y=0.3934514225, z=0.1553687304
right_knee: x=-0.0116503332, y=0.4066668749, z=-0.0083091883
left_ankle: x=-0.0643021762, y=0.7995997667, z=0.1926881224
right_ankle: x=-0.0725601763, y=0.8266574144, z=0.0700458810
