nose: x=0.1017008722, y=-0.5370395184, z=-0.1168547794
left_eye: x=0.1017008722, y=-0.5370395184, z=-0.1168547794
right_eye: x=0.1017008722, y=-0.5370395184, z=-0.1168547794
left_ear: x=0.1017008722, y=-0.5370395184, z=-0.1168547794
right_ear: x=0.1017008722, y=-0.5370395184, z=-0.1168547794
left_shoulder: x=0.0007165018, y=-0.4425005317, z=0.0318372622
right_shoulder: x=-0.0470499918, y=-0.4761396050, z=-0.2250232100
left_elbow: x=-0.0091986805, y=-0.2236837298, z=0.1686641872
right_elbow: x=-0.1034911126, y=-0.2914065719, z=-0.3295302987
left_wrist: x=0.1262584180, y=-0.1176699772, z=0.0842705145
right_wrist: x=0.1118808985, y=-0.1484833658, z=-0.2286410630
left_hip: x=0.0123521294, y=0.0041574389, z=0.1134327054
right_hip: x=-0.0128863938, y=0.0003635734, z=-0.1175816804
left_knee: x=-0.0018696170, y=0.3980450630, z=0.1469935179
right_knee: x=-0.0095918477, y=0.4092437327, z=-0.0069266343
left_ankle: x=-0.0643750355, y=0.8020068407, z=0.1861531138
right_ankle: x=-0.0802958980, y=0.8277041912, z=0.0797889084
