nose: x=0.0989603400, y=-0.5365560055, z=-0.1169586480
left_eye: x=0.0989603400, y=-0.5365560055, z=-0.1169586480
right_eye: x=0.0989603400, y=-0.5365560055, z=-0.1169586480
left_ear: x=0.0989603400, y=-0.5365560055, z=-0.1169586480
right_ear: x=0.0989603400, y=-0.5365560055, z=-0.1169586480
left_shoulder: x=-0.0055973814, y=-0.4430651963, z=0.0310050957
right_shoulder: x=-0.0539720878, y=-0.4761959612, z=-0.2230263799
left_elbow: x=-0.0172290001, y=-0.2251815647, z=0.1691711843
right_elbow: x=-0.1085221022, y=-0.2920922637, z=-0.3317649364
left_wrist: x=0.1208503097, y=-0.1243593991, z=0.0871826783
right_wrist: x=0.1059625149, y=-0.1477313787, z=-0.2348215282
left_hip: x=0.0130920066, y=0.0037030131, z=0.1145062819
right_hip: x=-0.0138015840, y=0.0000979900, z=-0.1180908456
left_knee: x=-0.0082668569, y=0.3964730501, z=0.1493932754
right_knee: x=-0.0192021914, y=0.4083499610, z=-0.0060999040
left_ankle: x=-0.0654339716, y=0.8026146889, z=0.1876758784
right_ankle: x=-0.0829178691, y=0.8276958466, z=0.0767029375
