nose: x=0.2086847574, y=-0.6116229892, z=-0.0226816908
left_eye: x=0.2086847574, y=-0.6116229892, z=-0.0226816908
right_eye: x=0.2086847574, y=-0.6116229892, z=-0.0226816908
left_ear: x=0.2086847574, y=-0.6116229892, z=-0.0226816908
right_ear: x=0.2086847574, y=-0.6116229892, z=-0.0226816908
left_shoulder: x=0.0517111234, y=-0.4888781309, z=0.1378468871
right_shoulder: x=0.0504965410, y=-0.5162999630, z=-0.1761775613
left_elbow: x=0.0234965608, y=-0.2280393839, z=0.2146035433
right_elbow: x=-0.0961977914, y=-0.2667231262, z=-0.2481657565
left_wrist: x=0.1577965617, y=-0.0999627262, z=0.2306802273
right_wrist: x=0.1245204359, y=-0.1274584532, z=-0.2539187670
left_hip: x=0.0058682854, y=-0.0072626024, z=0.1105414852
right_hip: x=-0.0143625839, y=0.0142164268, z=-0.1157643422
left_knee: x=0.2914775610, y=0.1404296756, z=0.2040549517
right_knee: x=0.2667647600, y=0.2195435166, z=-0.1560259759
left_ankle: x=-0.0392084196, y=0.2142157853, z=0.1870139837
right_ankle: x=-0.1057356596, y=0.3073996603, z=-0.0892651081
