nose: x=0.2305697203, y=-0.6026480794, z=-0.0245003644
left_eye: x=0.2305697203, y=-0.6026480794, z=-0.0245003644
right_eye: x=0.2305697203, y=-0.6026480794, z=-0.0245003644
left_ear: x=0.2305697203, y=-0.6026480794, z=-0.0245003644
right_ear: x=0.2305697203, y=-0.6026480794, z=-0.0245003644
left_shoulder: x=0.0501957238, y=-0.5012840033, z=0.1299855560
right_shoulder: x=0.0581374839, y=-0.5204647779, z=-0.1629931927
left_elbow: x=0.0160108618, y=-0.2227732092, z=0.2084187865
right_elbow: x=-0.0770562887, y=-0.2388097793, z=-0.2388610095
left_wrist: x=0.1531006992, y=-0.0733133703, z=0.2235555053
right_wrist: x=0.1542128623, y=-0.0963517129, z=-0.2713753283
left_hip: x=0.0067684795, y=-0.0122998655, z=0.1120559424
right_hip: x=-0.0065986472, y=0.0157771483, z=-0.1122750193
left_knee: x=0.2784462571, y=0.1457937658, z=0.2542413473
right_knee: x=0.2869797349, y=0.2241546810, z=-0.1410764009
left_ankle: x=-0.0386437029, y=0.1503914297, z=0.1595820785
right_ankle: x=-0.0337221138, y=0.2408198118, z=-0.0581399985
