nose: x=0.2476395518, y=-0.5968670845, z=-0.0223761201
left_eye: x=0.2476395518, y=-0.5968670845, z=-0.0223761201
right_eye: x=0.2476395518, y=-0.5968670845, z=-0.0223761201
left_ear: x=0.2476395518, y=-0.5968670845, z=-0.0223761201
right_ear: x=0.2476395518, y=-0.5968670845, z=-0.0223761201
left_shoulder: x=0.0605007559, y=-0.4989956617, z=0.1333505660
right_shoulder: x=0.0738871098, y=-0.5169684291, z=-0.1621231735
left_elbow: x=0.0293514151, y=-0.2194831818, z=0.2101220489
right_elbow: x=-0.0454996079, y=-0.2316206396, z=-0.2458579838
left_wrist: x=0.1652761400, y=-0.0685079545, z=0.2254028022
right_wrist: x=0.1884342134, y=-0.0935674906, z=-0.2822852135
left_hip: x=0.0069612367, y=-0.0119976699, z=0.1119267717
right_hip: x=-0.0063357418, y=0.0160561651, z=-0.1121968031
left_knee: x=0.2826677859, y=0.1439176202, z=0.2532573938
right_knee: x=0.2929385900, y=0.2203752100, z=-0.1381552368
left_ankle: x=-0.0327017158, y=0.1493494809, z=0.1579762399
right_ankle: x=-0.0298110452, y=0.2396023870, z=-0.0577075407
