nose: x=0.1658187211, y=-0.5334486961, z=-0.0972047895
left_eye: x=0.1658187211, y=-0.5334486961, z=-0.0972047895
right_eye: x=0.1658187211, y=-0.5334486961, z=-0.0972047895
left_ear: x=0.1658187211, y=-0.5334486961, z=-0.0972047895
right_ear: x=0.1658187211, y=-0.5334486961, z=-0.0972047895
left_shoulder: x=0.0521888360, y=-0.4438428283, z=0.0418711416
right_shoulder: x=-0.0066733933, y=-0.4783343375, z=-0.2099192888
left_elbow: x=0.0237605553, y=-0.2166773379, z=0.1785928011
right_elbow: x=-0.0814025998, y=-0.2763161659, z=-0.3134821653
left_wrist: x=0.1476978958, y=-0.1001551822, z=0.0944101736
right_wrist: x=0.1212774813, y=-0.1322783232, z=-0.2248108536
left_hip: x=0.0209783427, y=0.0050519928, z=0.1148684025
right_hip: x=-0.0215901844, y=-0.0036556423, z=-0.1188273430
left_knee: x=0.0580286980, y=0.3975589871, z=0.1477715075
right_knee: x=-0.0149684269, y=0.4050564468, z=-0.0210191645
left_ankle: x=-0.0239836629, y=0.7951821089, z=0.1784039289
right_ankle: x=-0.2175935209, y=0.7646403313, z=0.0537789539
