nose: x=0.0983709544, y=-0.5387058854, z=-0.1142088175
left_eye: x=0.0983709544, y=-0.5387058854, z=-0.1142088175
right_eye: x=0.0983709544, y=-0.5387058854, z=-0.1142088175
left_ear: x=0.0983709544, y=-0.5387058854, z=-0.1142088175
right_ear: x=0.0983709544, y=-0.5387058854, z=-0.1142088175
left_shoulder: x=-0.0027813348, y=-0.4400686026, z=0.0335927159
right_shoulder: x=-0.0478375219, y=-0.4748976827, z=-0.2229074538
left_elbow: x=-0.0144679230, y=-0.2198811024, z=0.1700582951
right_elbow: x=-0.1040564775, y=-0.2900980413, z=-0.3271707296
left_wrist: x=0.1226543784, y=-0.1131164879, z=0.0829005092
right_wrist: x=0.1111900061, y=-0.1476836205, z=-0.2231075615
left_hip: x=0.0117906947, y=0.0042362213, z=0.1130472869
right_hip: x=-0.0126548856, y=0.0003176704, z=-0.1169158891
left_knee: x=-0.0050355340, y=0.3989471793, z=0.1467912942
right_knee: x=-0.0126201995, y=0.4094142616, z=-0.0059050126
left_ankle: x=-0.0650343299, y=0.8040648699, z=0.1852166951
right_ankle: x=-0.0815766752, y=0.8287262917, z=0.0815037042
