nose: x=0.1710687876, y=-0.5345852971, z=-0.0923599079
left_eye: x=0.1710687876, y=-0.5345852971, z=-0.0923599079
right_eye: x=0.1710687876, y=-0.5345852971, z=-0.0923599079
left_ear: x=0.1710687876, y=-0.5345852971, z=-0.0923599079
right_ear: x=0.1710687876, y=-0.5345852971, z=-0.0923599079
left_shoulder: x=0.0553187840, y=-0.4444555640, z=0.0461337678
right_shoulder: x=-0.0022681914, y=-0.4812649786, z=-0.2055071294
left_elbow: x=0.0232188422, y=-0.2142718881, z=0.1813361347
right_elbow: x=-0.0804574341, y=-0.2816254199, z=-0.3128198087
left_wrist: x=0.1465784758, y=-0.0960041285, z=0.0963185132
right_wrist: x=0.1187623888, y=-0.1334795356, z=-0.2227108926
left_hip: x=0.0219350047, y=0.0052535161, z=0.1148977578
right_hip: x=-0.0218105279, y=-0.0039273724, z=-0.1180493459
left_knee: x=0.0486145206, y=0.3995584846, z=0.1452848762
right_knee: x=-0.0309254825, y=0.4033812284, z=-0.0177174136
left_ankle: x=-0.0117075127, y=0.7980875969, z=0.1773525774
right_ankle: x=-0.2274980843, y=0.7641510963, z=0.0577693954
