nose: x=0.1859160364, y=-0.6183879972, z=-0.0054814862
left_eye: x=0.1859160364, y=-0.6183879972, z=-0.0054814862
right_eye: x=0.1859160364, y=-0.6183879972, z=-0.0054814862
left_ear: x=0.1859160364, y=-0.6183879972, z=-0.0054814862
right_ear: x=0.1859160364, y=-0.6183879972, z=-0.0054814862
left_shoulder: x=0.0091844331, y=-0.5024547577, z=0.1327499151
right_shoulder: x=0.0309761241, y=-0.5266183615, z=-0.1617972255
left_elbow: x=0.0047122324, y=-0.2020243555, z=0.1765667200
right_elbow: x=-0.0591432415, y=-0.2298177332, z=-0.2206374705
left_wrist: x=0.1175525486, y=-0.0083080232, z=0.1707565486
right_wrist: x=0.0898322314, y=0.0233377740, z=-0.2371655554
left_hip: x=-0.0040858225, y=-0.0099498853, z=0.1074730158
right_hip: x=0.0075898673, y=0.0137375444, z=-0.1101821661
left_knee: x=0.1823161840, y=0.2051440328, z=0.2793940902
right_knee: x=0.3107292652, y=0.2588211894, z=-0.1168631464
left_ankle: x=-0.0810643137, y=0.2347853631, z=0.1113212779
right_ankle: x=0.1372725666, y=0.3029415309, z=-0.1263370812
