nose: x=0.4342168272, y=-0.4737146497, z=0.0138685461
left_eye: x=0.4342168272, y=-0.4737146497, z=0.0138685461
right_eye: x=0.4342168272, y=-0.4737146497, z=0.0138685461
left_ear: x=0.4342168272, y=-0.4737146497, z=0.0138685461
right_ear: x=0.4342168272, y=-0.4737146497, z=0.0138685461
left_shoulder: x=0.2329012007, y=-0.4173340797, z=0.1743630618
right_shoulder: x=0.2544636130, y=-0.4536865354, z=-0.1274737716
left_elbow: x=0.2386910319, y=-0.1212580651, z=0.1523079574
right_elbow: x=0.2312948555, y=-0.1285576671, z=-0.1653729528
left_wrist: x=0.3398089409, y=0.1108659506, z=0.1655678749
right_wrist: x=0.4035364985, y=0.1522034705, z=-0.1852293313
left_hip: x=0.0115099046, y=-0.0092071891, z=0.1085447222
right_hip: x=-0.0046680588, y=0.0166067779, z=-0.1147093400
left_knee: x=0.3149223328, y=0.1090706438, z=0.2385196686
right_knee: x=0.3547255993, y=0.1551436782, z=-0.1134360060
left_ankle: x=-0.0050652102, y=0.1291113049, z=0.1708622128
right_ankle: x=0.0380107537, y=0.2134208381, z=-0.0651111007
