nose: x=0.2219129652, y=-0.6017853022, z=-0.0194247141
left_eye: x=0.2219129652, y=-0.6017853022, z=-0.0194247141
right_eye: x=0.2219129652, y=-0.6017853022, z=-0.0194247141
left_ear: x=0.2219129652, y=-0.6017853022, z=-0.0194247141
right_ear: x=0.2219129652, y=-0.6017853022, z=-0.0194247141
left_shoulder: x=0.0705381036, y=-0.4951548278, z=0.1321136653
right_shoulder: x=0.0602123439, y=-0.5225203633, z=-0.1839455664
left_elbow: x=0.0407788008, y=-0.2444304824, z=0.2329530716
right_elbow: x=-0.0877984390, y=-0.2936902940, z=-0.2726579010
left_wrist: x=0.1722816229, y=-0.1133421063, z=0.2331765592
right_wrist: x=0.1361346841, y=-0.1415672451, z=-0.2704427838
left_hip: x=0.0058146492, y=-0.0063468292, z=0.1089452580
right_hip: x=-0.0159284510, y=0.0056476593, z=-0.1167857870
left_knee: x=0.2713707685, y=0.1916418374, z=0.2077497542
right_knee: x=0.2407854199, y=0.2603231668, z=-0.1354967207
left_ankle: x=-0.0513242967, y=0.3258050680, z=0.2012412995
right_ankle: x=-0.1260055751, y=0.4206365943, z=-0.0775685310
