nose: x=0.1014459580, y=-0.5372738242, z=-0.1165366322
left_eye: x=0.1014459580, y=-0.5372738242, z=-0.1165366322
right_eye: x=0.1014459580, y=-0.5372738242, z=-0.1165366322
left_ear: x=0.1014459580, y=-0.5372738242, z=-0.1165366322
right_ear: x=0.1014459580, y=-0.5372738242, z=-0.1165366322
left_shoulder: x=0.0005877898, y=-0.4421630502, z=0.0320961028
right_shoulder: x=-0.0469323173, y=-0.4760601521, z=-0.2247830629
left_elbow: x=-0.0095225126, y=-0.2231137753, z=0.1688086689
right_elbow: x=-0.1037111059, y=-0.2914568484, z=-0.3291729093
left_wrist: x=0.1259996742, y=-0.1166529506, z=0.0839237869
right_wrist: x=0.1118207052, y=-0.1486026496, z=-0.2280016690
left_hip: x=0.0122739160, y=0.0041952953, z=0.1133532822
right_hip: x=-0.0128391469, y=0.0003515407, z=-0.1175121963
left_knee: x=-0.0019537499, y=0.3982017040, z=0.1468530893
right_knee: x=-0.0095356777, y=0.4093202353, z=-0.0070207501
left_ankle: x=-0.0645056590, y=0.8021965027, z=0.1860611588
right_ankle: x=-0.0803733692, y=0.8277554512, z=0.0800662488
