nose: x=0.0998190790, y=-0.5361425281, z=-0.1174533963
left_eye: x=0.0998190790, y=-0.5361425281, z=-0.1174533963
right_eye: x=0.0998190790, y=-0.5361425281, z=-0.1174533963
left_ear: x=0.0998190790, y=-0.5361425281, z=-0.1174533963
right_ear: x=0.0998190790, y=-0.5361425281, z=-0.1174533963
left_shoulder: x=-0.0038987123, y=-0.4434579909, z=0.0307377428
right_shoulder: x=-0.0526139811, y=-0.4760823548, z=-0.2238532901
left_elbow: x=-0.0139574315, y=-0.2262491882, z=0.1695837826
right_elbow: x=-0.1073831245, y=-0.2918291688, z=-0.3312361240
left_wrist: x=0.1230388880, y=-0.1244376078, z=0.0868801475
right_wrist: x=0.1072351038, y=-0.1477487683, z=-0.2336327732
left_hip: x=0.0130294282, y=0.0037443414, z=0.1143709719
right_hip: x=-0.0137094203, y=0.0001634657, z=-0.1180818602
left_knee: x=-0.0070421081, y=0.3966069818, z=0.1489847153
right_knee: x=-0.0176804867, y=0.4083821774, z=-0.0059819166
left_ankle: x=-0.0649751648, y=0.8031009436, z=0.1876396686
right_ankle: x=-0.0824187472, y=0.8285887241, z=0.0776903480
