nose: x=0.1012480259, y=-0.5364410877, z=-0.1173088849
left_eye: x=0.1012480259, y=-0.5364410877, z=-0.1173088849
right_eye: x=0.1012480259, y=-0.5364410877, z=-0.1173088849
left_ear: x=0.1012480259, y=-0.5364410877, z=-0.1173088849
right_ear: x=0.1012480259, y=-0.5364410877, z=-0.1173088849
left_shoulder: x=-0.0013828507, y=-0.4430877566, z=0.0311809294
right_shoulder: x=-0.0493301786, y=-0.4762750268, z=-0.2245097011
left_elbow: x=-0.0123823602, y=-0.2245498300, z=0.1681133658
right_elbow: x=-0.1039346159, y=-0.2913994789, z=-0.3302795887
left_wrist: x=0.1245286837, y=-0.1216539219, z=0.0857571512
right_wrist: x=0.1102804244, y=-0.1482026875, z=-0.2314365804
left_hip: x=0.0125685576, y=0.0039417595, z=0.1139377952
right_hip: x=-0.0132553987, y=0.0003126711, z=-0.1177110821
left_knee: x=-0.0044787591, y=0.3973781466, z=0.1477731466
right_knee: x=-0.0135970414, y=0.4087574482, z=-0.0064053545
left_ankle: x=-0.0644243434, y=0.8024648428, z=0.1865181923
right_ankle: x=-0.0810361803, y=0.8280663490, z=0.0785042197
