nose: x=0.0958279893, y=-0.5389282107, z=-0.1127401590
left_eye: x=0.0958279893, y=-0.5389282107, z=-0.1127401590
right_eye: x=0.0958279893, y=-0.5389282107, z=-0.1127401590
left_ear: x=0.0958279893, y=-0.5389282107, z=-0.1127401590
right_ear: x=0.0958279893, y=-0.5389282107, z=-0.1127401590
left_shoulder: x=-0.0062748305, y=-0.4387066662, z=0.0342931896
right_shoulder: x=-0.0491180718, y=-0.4737937450, z=-0.2212879509
left_elbow: x=-0.0206837840, y=-0.2174090445, z=0.1699657589
right_elbow: x=-0.1023425907, y=-0.2878093123, z=-0.3259292841
left_wrist: x=0.1190336794, y=-0.1119360477, z=0.0824530870
right_wrist: x=0.1111288667, y=-0.1463899910, z=-0.2195582986
left_hip: x=0.0113628786, y=0.0043547601, z=0.1131774187
right_hip: x=-0.0125967814, y=0.0002537370, z=-0.1167543083
left_knee: x=-0.0078695957, y=0.3992025554, z=0.1468094885
right_knee: x=-0.0165239573, y=0.4090538621, z=-0.0052513694
left_ankle: x=-0.0648499355, y=0.8056142330, z=0.1840931773
right_ankle: x=-0.0818138346, y=0.8294782639, z=0.0809541941
