nose: x=0.1225482747, y=-0.5383841991, z=-0.1143891439
left_eye: x=0.1225482747, y=-0.5383841991, z=-0.1143891439
right_eye: x=0.1225482747, y=-0.5383841991, z=-0.1143891439
left_ear: x=0.1225482747, y=-0.5383841991, z=-0.1143891439
right_ear: x=0.1225482747, y=-0.5383841991, z=-0.1143891439
left_shoulder: x=0.0148561057, y=-0.4433239996, z=0.0326802172
right_shoulder: x=-0.0393175595, y=-0.4791326523, z=-0.2189651579
left_elbow: x=0.0015539909, y=-0.2270044982, z=0.1732244194
right_elbow: x=-0.1012318283, y=-0.2962369621, z=-0.3329671621
left_wrist: x=0.1306474954, y=-0.1208324581, z=0.0884600952
right_wrist: x=0.1112199128, y=-0.1470308453, z=-0.2415034920
left_hip: x=0.0156383887, y=0.0021952614, z=0.1155054942
right_hip: x=-0.0163430162, y=0.0001005232, z=-0.1189336553
left_knee: x=0.0058154780, y=0.3915656507, z=0.1575490832
right_knee: x=0.0002210868, y=0.4052165747, z=-0.0091767563
left_ankle: x=-0.0582474992, y=0.7966741323, z=0.1931887865
right_ankle: x=-0.0592132211, y=0.8253884315, z=0.0710477680
