nose: x=0.1006793082, y=-0.5379342437, z=-0.1156424806
left_eye: x=0.1006793082, y=-0.5379342437, z=-0.1156424806
right_eye: x=0.1006793082, y=-0.5379342437, z=-0.1156424806
left_ear: x=0.1006793082, y=-0.5379342437, z=-0.1156424806
right_ear: x=0.1006793082, y=-0.5379342437, z=-0.1156424806
left_shoulder: x=-0.0000691838, y=-0.4414995909, z=0.0327029563
right_shoulder: x=-0.0469758809, y=-0.4758944511, z=-0.2241738439
left_elbow: x=-0.0107576363, y=-0.2219653875, z=0.1691075563
right_elbow: x=-0.1043730676, y=-0.2916451693, z=-0.3283159733
left_wrist: x=0.1251436770, y=-0.1151522994, z=0.0832974762
right_wrist: x=0.1114750206, y=-0.1486869007, z=-0.2262086570
left_hip: x=0.0121219512, y=0.0042236969, z=0.1132044047
right_hip: x=-0.0127281602, y=0.0003548115, z=-0.1172861978
left_knee: x=-0.0025265059, y=0.3984865844, z=0.1468039900
right_knee: x=-0.0098052574, y=0.4094090164, z=-0.0068806643
left_ankle: x=-0.0647199973, y=0.8027240634, z=0.1858890653
right_ankle: x=-0.0808502361, y=0.8279458284, z=0.0806253180
